_id	Tarih	Omerli	Darlik	Elmali	Terkos	Alibey	Buyukcekmece	Sazlidere	Kazandere	Pabucdere	Istrancalar
18	2011-01-18T00:00:00	79,60%	86,19%	96,56%	93,79%	48,82%	88,62%	81,69%	91,88%	92,20%	99,99%
19	2011-01-19T00:00:00	79,45%	86,35%	97,08%	93,79%	48,82%	88,62%	81,60%	91,98%	92,30%	99,99%
20	2011-01-20T00:00:00	79,37%	86,19%	97,40%	93,79%	48,90%	88,62%	81,69%	91,88%	92,20%	99,99%
21	2011-01-21T00:00:00	79,14%	86,14%	97,08%	93,59%	48,82%	88,62%	81,60%	91,78%	92,10%	99,99%
22	2011-01-22T00:00:00	78,99%	86,08%	97,19%	93,79%	48,82%	88,81%	81,69%	91,58%	91,90%	99,99%
23	2011-01-23T00:00:00	78,84%	86,03%	96,88%	93,59%	48,90%	88,81%	81,79%	92,08%	92,39%	99,99%
24	2011-01-24T00:00:00	78,61%	85,92%	96,77%	93,59%	48,90%	89,37%	81,79%	93,02%	93,32%	99,99%
25	2011-01-25T00:00:00	79,14%	86,67%	97,92%	94,17%	49,31%	89,93%	81,99%	93,45%	93,74%	99,99%
26	2011-01-26T00:00:00	80,30%	88,37%	96,04%	96,88%	53,00%	91,44%	83,20%	93,90%	94,19%	99,99%
27	2011-01-27T00:00:00	81,30%	90,29%	97,92%	98,44%	56,45%	93,13%	84,74%	91,02%	91,35%	99,99%
28	2011-01-28T00:00:00	81,54%	90,82%	98,75%	99,02%	57,85%	94,07%	85,20%	91,21%	91,53%	99,99%
29	2011-01-29T00:00:00	81,62%	91,24%	99,17%	99,02%	58,99%	94,45%	85,55%	91,21%	91,53%	99,99%
30	2011-01-30T00:00:00	81,93%	91,65%	99,48%	99,02%	59,71%	94,83%	85,91%	91,30%	91,62%	99,99%
31	2011-01-31T00:00:00	82,71%	93,90%	99,48%	99,02%	60,24%	95,02%	85,91%	91,48%	91,80%	99,99%
32	2011-01-02T00:00:00	83,18%	94,54%	100,00%	99,61%	60,96%	95,21%	86,20%	91,58%	91,90%	99,99%
33	2011-02-02T00:00:00	83,57%	94,92%	100,00%	99,22%	61,23%	95,21%	86,20%	91,88%	92,20%	99,99%
34	2011-03-02T00:00:00	83,88%	95,18%	100,00%	99,22%	61,59%	95,21%	86,39%	92,70%	93,00%	99,99%
35	2011-04-02T00:00:00	84,20%	95,61%	100,00%	99,02%	62,04%	95,40%	86,67%	94,02%	94,30%	99,99%
36	2011-05-02T00:00:00	84,51%	95,82%	100,00%	98,83%	62,31%	95,40%	86,67%	94,71%	94,99%	99,99%
37	2011-06-02T00:00:00	84,83%	96,09%	100,00%	98,44%	62,58%	95,40%	86,88%	94,71%	94,99%	99,99%
38	2011-07-02T00:00:00	84,99%	96,35%	100,00%	98,63%	62,67%	95,40%	87,08%	94,48%	94,76%	99,99%
39	2011-08-02T00:00:00	85,14%	96,57%	100,00%	98,24%	62,86%	95,40%	87,29%	94,02%	94,30%	99,99%
40	2011-09-02T00:00:00	85,30%	96,67%	100,00%	98,04%	63,22%	95,40%	87,29%	93,56%	93,85%	99,99%
41	2011-10-02T00:00:00	85,46%	96,72%	100,00%	97,85%	63,22%	95,40%	87,29%	94,13%	94,42%	99,99%
42	2011-11-02T00:00:00	85,54%	96,67%	100,00%	97,85%	63,31%	95,40%	87,29%	94,13%	94,42%	99,99%
43	2011-12-02T00:00:00	85,54%	96,67%	100,00%	97,46%	63,68%	95,21%	87,60%	93,79%	94,08%	99,99%
44	2011-02-13T00:00:00	85,70%	96,62%	100,00%	97,27%	63,68%	95,40%	87,60%	94,02%	94,30%	99,99%
45	2011-02-14T00:00:00	85,70%	96,57%	99,79%	97,27%	63,68%	95,40%	87,70%	93,90%	94,19%	99,99%
46	2011-02-15T00:00:00	85,70%	96,51%	99,48%	96,88%	63,86%	95,21%	87,81%	93,67%	93,96%	99,99%
47	2011-02-16T00:00:00	85,70%	96,30%	99,48%	96,68%	63,86%	95,02%	87,81%	94,02%	94,30%	99,99%
48	2011-02-17T00:00:00	85,38%	96,09%	99,69%	96,49%	63,77%	95,02%	87,92%	94,13%	94,42%	99,99%
49	2011-02-18T00:00:00	85,22%	95,87%	99,69%	96,10%	62,86%	95,02%	88,03%	94,13%	94,42%	99,99%
50	2011-02-19T00:00:00	85,22%	95,66%	99,58%	96,30%	62,86%	95,02%	88,25%	94,13%	94,42%	99,99%
51	2011-02-20T00:00:00	84,99%	95,50%	98,85%	96,30%	62,86%	95,02%	88,59%	95,16%	95,41%	99,99%
52	2011-02-21T00:00:00	84,91%	95,39%	99,17%	96,68%	62,86%	94,83%	88,36%	94,71%	94,99%	99,99%
53	2011-02-22T00:00:00	84,67%	95,23%	98,75%	96,49%	62,95%	94,83%	88,36%	93,90%	94,19%	99,99%
54	2011-02-23T00:00:00	84,67%	95,08%	98,85%	97,07%	63,13%	95,21%	88,70%	93,56%	93,85%	99,99%
55	2011-02-24T00:00:00	84,51%	94,86%	98,85%	98,44%	63,86%	95,59%	89,16%	95,07%	95,33%	99,99%
56	2011-02-25T00:00:00	84,35%	94,65%	98,96%	100,00%	65,05%	97,13%	89,64%	93,90%	94,19%	99,99%
57	2011-02-26T00:00:00	84,51%	94,81%	99,90%	100,00%	67,84%	97,70%	90,54%	93,02%	93,32%	99,99%
58	2011-02-27T00:00:00	84,99%	95,71%	99,79%	99,80%	69,83%	97,51%	90,73%	94,71%	94,99%	99,99%
59	2011-02-28T00:00:00	85,38%	96,41%	100,00%	99,61%	71,16%	97,70%	91,41%	94,71%	94,99%	99,99%
60	2011-01-03T00:00:00	85,46%	96,62%	100,00%	100,00%	72,02%	98,28%	91,91%	93,23%	93,53%	99,99%
61	2011-02-03T00:00:00	85,38%	96,67%	100,00%	100,00%	72,99%	98,85%	92,13%	93,45%	93,74%	99,99%
62	2011-03-03T00:00:00	85,38%	96,72%	100,00%	100,00%	73,57%	99,04%	92,35%	92,80%	93,11%	99,99%
63	2011-04-03T00:00:00	85,30%	96,72%	99,90%	100,00%	74,05%	99,23%	92,78%	93,13%	93,43%	99,99%
64	2011-05-03T00:00:00	85,22%	96,72%	100,00%	100,00%	74,25%	99,23%	93,47%	93,79%	94,08%	99,99%
65	2011-06-03T00:00:00	85,14%	96,62%	100,00%	100,00%	74,64%	98,28%	93,47%	94,59%	94,87%	99,99%
66	2011-07-03T00:00:00	85,06%	96,51%	100,00%	99,80%	74,93%	98,08%	93,23%	95,07%	95,33%	99,99%
67	2011-08-03T00:00:00	85,06%	96,41%	100,00%	99,80%	75,03%	98,28%	93,47%	94,71%	94,99%	99,99%
68	2011-09-03T00:00:00	85,06%	96,46%	100,00%	100,00%	75,22%	98,08%	93,70%	94,36%	94,64%	99,99%
69	2011-10-03T00:00:00	85,06%	96,57%	100,00%	99,22%	74,83%	98,28%	93,82%	93,90%	94,19%	99,99%
70	2011-11-03T00:00:00	85,06%	96,88%	100,00%	99,22%	74,93%	98,47%	93,93%	94,02%	94,30%	99,99%
71	2011-12-03T00:00:00	85,30%	97,52%	100,00%	100,00%	75,22%	98,66%	94,29%	93,56%	93,85%	99,99%
72	2011-03-13T00:00:00	85,46%	98,64%	100,00%	100,00%	75,32%	98,85%	94,42%	94,98%	95,24%	99,99%
73	2011-03-14T00:00:00	85,78%	99,98%	100,00%	100,00%	75,52%	98,85%	94,79%	94,59%	94,87%	99,99%
74	2011-03-15T00:00:00	85,94%	100,00%	100,00%	100,00%	75,62%	99,04%	94,79%	94,71%	94,99%	99,99%
75	2011-03-16T00:00:00	86,33%	100,00%	100,00%	100,00%	75,32%	99,04%	95,04%	94,48%	94,76%	99,99%
76	2011-03-17T00:00:00	86,41%	100,00%	99,79%	100,00%	75,13%	99,04%	95,17%	94,13%	94,42%	99,99%
77	2011-03-18T00:00:00	86,41%	100,00%	99,69%	100,00%	75,22%	98,28%	95,29%	93,79%	94,08%	99,99%
78	2011-03-19T00:00:00	86,41%	100,00%	100,00%	100,00%	74,25%	97,89%	95,81%	94,25%	94,53%	99,99%
79	2011-03-20T00:00:00	86,57%	100,00%	99,69%	100,00%	74,35%	98,28%	95,81%	94,36%	94,64%	99,99%
80	2011-03-21T00:00:00	86,57%	100,00%	99,79%	100,00%	74,93%	98,47%	96,10%	94,71%	94,99%	99,99%
81	2011-03-22T00:00:00	86,57%	100,00%	99,69%	100,00%	75,91%	98,66%	96,10%	94,98%	95,24%	99,99%
82	2011-03-23T00:00:00	86,57%	100,00%	99,79%	100,00%	76,21%	98,66%	96,49%	95,16%	95,41%	99,99%
83	2011-03-24T00:00:00	86,41%	100,00%	99,69%	100,00%	76,50%	98,85%	96,81%	94,98%	95,24%	99,99%
84	2011-03-25T00:00:00	86,25%	100,00%	99,90%	100,00%	76,60%	98,85%	96,92%	94,89%	95,16%	99,99%
85	2011-03-26T00:00:00	86,17%	100,00%	100,00%	100,00%	76,70%	98,85%	97,24%	95,07%	95,33%	99,99%
86	2011-03-27T00:00:00	86,02%	100,00%	99,79%	100,00%	76,80%	99,04%	97,34%	95,07%	95,33%	99,99%
87	2011-03-28T00:00:00	85,78%	100,00%	99,90%	100,00%	76,60%	99,23%	97,79%	95,25%	95,49%	99,99%
88	2011-03-29T00:00:00	85,54%	100,00%	99,79%	100,00%	76,50%	99,04%	97,34%	95,33%	95,58%	99,99%
89	2011-03-30T00:00:00	85,46%	100,00%	99,90%	100,00%	76,50%	98,85%	98,02%	95,25%	95,49%	99,99%
90	2011-03-31T00:00:00	85,38%	100,00%	99,69%	100,00%	76,30%	99,04%	97,68%	95,42%	95,66%	99,99%
91	2011-01-04T00:00:00	85,30%	100,00%	99,79%	100,00%	76,21%	99,04%	97,56%	95,25%	95,49%	99,99%
92	2011-02-04T00:00:00	85,30%	100,00%	99,90%	100,00%	76,21%	99,43%	97,79%	95,07%	95,33%	99,99%
93	2011-03-04T00:00:00	85,86%	100,00%	99,90%	100,00%	80,29%	100,00%	100,00%	97,11%	97,26%	99,99%
94	2011-04-04T00:00:00	86,25%	100,00%	99,58%	100,00%	82,61%	97,51%	100,00%	100,00%	94,76%	99,99%
95	2011-05-04T00:00:00	86,65%	100,00%	100,00%	100,00%	84,45%	97,70%	100,00%	100,00%	95,41%	99,99%
96	2011-06-04T00:00:00	87,05%	100,00%	100,00%	100,00%	85,49%	98,08%	100,00%	99,02%	94,42%	99,99%
97	2011-07-04T00:00:00	87,29%	100,00%	100,00%	100,00%	86,21%	98,28%	100,00%	97,64%	95,33%	99,99%
98	2011-08-04T00:00:00	87,45%	100,00%	99,69%	100,00%	86,73%	98,28%	100,00%	95,99%	94,99%	99,99%
99	2011-09-04T00:00:00	87,93%	100,00%	99,79%	100,00%	87,25%	98,47%	100,00%	94,80%	95,07%	99,99%
100	2011-10-04T00:00:00	88,09%	100,00%	99,79%	100,00%	87,67%	98,66%	100,00%	94,59%	94,87%	99,99%
101	2011-11-04T00:00:00	88,33%	99,99%	99,69%	100,00%	87,98%	98,47%	100,00%	94,25%	94,53%	99,99%
102	2011-12-04T00:00:00	88,50%	99,99%	99,69%	100,00%	88,19%	98,66%	99,72%	94,59%	94,87%	99,99%
103	2011-04-13T00:00:00	88,59%	99,98%	99,79%	100,00%	88,82%	98,66%	100,00%	94,48%	94,76%	99,99%
104	2011-04-14T00:00:00	88,86%	99,97%	99,79%	99,61%	89,13%	98,47%	100,00%	94,36%	94,64%	99,99%
105	2011-04-15T00:00:00	88,95%	99,81%	99,90%	100,00%	89,66%	98,66%	100,00%	94,36%	94,64%	99,99%
106	2011-04-16T00:00:00	89,04%	99,76%	99,69%	100,00%	89,97%	98,85%	100,00%	94,71%	94,99%	99,99%
107	2011-04-17T00:00:00	89,13%	99,65%	99,58%	100,00%	90,08%	98,85%	100,00%	94,80%	95,07%	99,99%
108	2011-04-18T00:00:00	89,52%	99,49%	99,58%	100,00%	90,40%	99,04%	100,00%	95,16%	95,41%	99,99%
109	2011-04-19T00:00:00	90,60%	100,00%	99,69%	100,00%	92,20%	99,23%	100,00%	95,16%	95,41%	99,99%
110	2011-04-20T00:00:00	91,25%	100,00%	99,79%	100,00%	92,84%	98,47%	100,00%	94,89%	95,16%	99,99%
111	2011-04-21T00:00:00	92,07%	100,00%	100,00%	100,00%	92,31%	98,66%	100,00%	95,07%	95,33%	99,99%
112	2011-04-22T00:00:00	92,40%	100,00%	100,00%	100,00%	92,31%	99,04%	100,00%	95,25%	95,49%	99,99%
113	2011-04-23T00:00:00	92,64%	100,00%	100,00%	100,00%	91,99%	98,85%	100,00%	95,25%	95,49%	99,99%
114	2011-04-24T00:00:00	92,89%	100,00%	100,00%	100,00%	91,78%	99,04%	100,00%	95,25%	95,49%	99,99%
115	2011-04-25T00:00:00	93,14%	100,00%	99,79%	100,00%	91,14%	98,85%	100,00%	95,16%	95,41%	99,99%
116	2011-04-26T00:00:00	93,47%	100,00%	99,69%	100,00%	90,93%	98,85%	100,00%	94,71%	94,99%	99,99%
117	2011-04-27T00:00:00	93,55%	99,99%	99,79%	100,00%	90,40%	98,85%	100,00%	95,33%	95,58%	99,99%
118	2011-04-28T00:00:00	93,80%	99,99%	100,00%	100,00%	89,97%	99,23%	99,86%	95,60%	95,83%	99,99%
119	2011-04-29T00:00:00	93,88%	99,99%	99,69%	100,00%	89,55%	98,85%	99,86%	95,60%	95,83%	99,99%
120	2011-04-30T00:00:00	93,96%	99,97%	99,79%	100,00%	89,45%	98,85%	99,86%	95,60%	95,83%	99,99%
121	2011-01-05T00:00:00	94,13%	99,76%	99,79%	100,00%	88,82%	98,85%	99,72%	95,60%	95,83%	99,99%
122	2011-02-05T00:00:00	94,29%	99,65%	100,00%	99,80%	89,45%	98,85%	99,72%	95,60%	95,83%	99,99%
123	2011-03-05T00:00:00	94,37%	99,39%	99,69%	99,80%	88,92%	98,85%	99,44%	95,60%	95,83%	99,99%
124	2011-04-05T00:00:00	94,37%	99,28%	100,00%	99,61%	89,03%	99,23%	99,58%	96,58%	96,76%	99,99%
125	2011-05-05T00:00:00	94,46%	99,12%	100,00%	100,00%	90,29%	99,81%	100,00%	96,79%	96,96%	99,99%
126	2011-06-05T00:00:00	94,46%	99,01%	99,90%	99,61%	91,88%	98,08%	100,00%	97,00%	97,16%	99,99%
127	2011-07-05T00:00:00	94,37%	98,80%	100,00%	100,00%	96,72%	98,08%	100,00%	97,11%	97,26%	99,99%
128	2011-08-05T00:00:00	94,46%	98,64%	100,00%	99,80%	96,72%	98,08%	100,00%	97,11%	97,26%	99,99%
129	2011-09-05T00:00:00	94,13%	98,37%	99,90%	99,41%	96,18%	98,08%	99,86%	96,79%	96,96%	99,99%
130	2011-10-05T00:00:00	93,96%	98,21%	99,79%	99,22%	95,42%	98,28%	99,72%	96,69%	96,86%	99,99%
131	2011-11-05T00:00:00	93,88%	98,00%	99,90%	99,41%	95,20%	97,70%	99,72%	96,58%	96,76%	99,99%
132	2011-12-05T00:00:00	93,71%	97,79%	99,69%	99,41%	94,67%	97,70%	99,44%	96,39%	96,57%	99,99%
133	2011-05-13T00:00:00	93,55%	97,52%	99,90%	99,22%	94,13%	97,51%	99,30%	96,19%	96,39%	99,99%
134	2011-05-14T00:00:00	93,38%	97,31%	99,69%	98,63%	93,59%	97,70%	99,02%	96,09%	96,30%	99,99%
135	2011-05-15T00:00:00	93,14%	96,99%	99,58%	98,04%	93,38%	97,70%	98,87%	96,09%	96,30%	99,99%
136	2011-05-16T00:00:00	92,97%	96,72%	99,58%	98,24%	93,27%	97,70%	98,87%	96,19%	96,39%	99,99%
137	2011-05-17T00:00:00	92,81%	96,62%	99,48%	98,24%	93,27%	97,51%	98,59%	96,39%	96,57%	99,99%
138	2011-05-18T00:00:00	92,56%	96,51%	99,58%	97,85%	93,27%	96,74%	98,36%	96,48%	96,67%	99,99%
139	2011-05-19T00:00:00	92,31%	96,41%	99,48%	97,66%	93,27%	96,74%	98,13%	96,58%	96,76%	99,99%
140	2011-05-20T00:00:00	92,15%	96,30%	99,17%	97,27%	93,27%	96,74%	98,02%	96,79%	96,96%	99,99%
141	2011-05-21T00:00:00	92,07%	96,14%	98,54%	97,07%	93,27%	96,74%	97,79%	97,11%	97,26%	99,99%
142	2011-05-22T00:00:00	91,82%	96,09%	98,23%	96,88%	93,27%	96,55%	97,68%	97,32%	97,46%	99,99%
143	2011-05-23T00:00:00	91,66%	95,87%	98,02%	96,49%	93,27%	95,98%	97,45%	97,64%	97,76%	99,99%
144	2011-05-24T00:00:00	91,41%	95,71%	97,40%	95,91%	93,27%	95,79%	97,45%	97,87%	97,98%	99,99%
145	2011-05-25T00:00:00	91,17%	95,66%	97,50%	96,10%	93,27%	95,59%	97,24%	100,00%	98,30%	99,99%
146	2011-05-26T00:00:00	90,92%	95,45%	96,88%	95,52%	93,27%	95,79%	97,13%	98,44%	98,52%	99,99%
147	2011-05-27T00:00:00	90,68%	95,29%	95,94%	95,33%	93,27%	95,59%	96,92%	98,67%	98,73%	99,99%
148	2011-05-28T00:00:00	90,52%	95,18%	95,10%	94,94%	93,27%	95,02%	96,60%	99,02%	99,07%	99,99%
149	2011-05-29T00:00:00	90,44%	95,02%	94,71%	94,75%	93,27%	95,02%	96,39%	99,15%	99,19%	99,99%
150	2011-05-30T00:00:00	90,27%	94,92%	95,10%	94,36%	93,27%	94,45%	96,29%	99,39%	99,42%	99,99%
151	2011-05-31T00:00:00	90,11%	94,76%	94,90%	93,98%	93,27%	94,45%	96,19%	99,63%	99,65%	99,99%
152	2011-01-06T00:00:00	89,88%	94,60%	94,38%	93,59%	93,27%	94,07%	95,90%	99,76%	99,77%	99,99%
153	2011-02-06T00:00:00	89,81%	94,33%	93,96%	93,40%	93,27%	93,69%	95,61%	99,88%	99,88%	99,99%
154	2011-03-06T00:00:00	89,67%	94,22%	93,88%	93,02%	93,27%	93,50%	95,52%	100,00%	100,00%	99,99%
155	2011-04-06T00:00:00	89,59%	94,12%	93,46%	93,02%	93,16%	93,50%	95,04%	100,00%	100,00%	99,99%
156	2011-05-06T00:00:00	89,38%	94,01%	93,46%	92,63%	93,06%	93,13%	94,79%	100,00%	100,00%	99,99%
157	2011-06-06T00:00:00	89,22%	93,85%	93,04%	92,06%	92,84%	92,94%	94,67%	100,00%	100,00%	99,99%
158	2011-07-06T00:00:00	89,04%	93,59%	92,71%	91,68%	92,52%	92,75%	94,17%	100,00%	100,00%	99,99%
159	2011-08-06T00:00:00	88,95%	93,48%	92,29%	91,30%	91,99%	92,37%	93,93%	100,00%	100,00%	99,99%
160	2011-09-06T00:00:00	88,86%	93,32%	92,21%	90,92%	91,78%	92,19%	93,82%	100,00%	100,00%	99,99%
161	2011-10-06T00:00:00	88,68%	93,11%	92,04%	90,34%	91,35%	92,19%	93,70%	100,00%	100,00%	99,99%
162	2011-11-06T00:00:00	88,50%	92,95%	91,46%	89,96%	90,93%	93,13%	93,35%	100,00%	100,00%	99,99%
163	2011-12-06T00:00:00	88,50%	92,84%	91,63%	89,96%	90,71%	94,07%	93,11%	100,00%	100,00%	99,99%
164	2011-06-13T00:00:00	88,59%	92,73%	92,04%	89,40%	90,29%	91,44%	92,89%	100,00%	100,00%	99,99%
165	2011-06-14T00:00:00	88,59%	92,57%	91,96%	88,83%	90,08%	91,81%	92,56%	100,00%	100,00%	99,99%
166	2011-06-15T00:00:00	88,33%	92,57%	92,21%	88,83%	89,87%	91,81%	92,35%	99,76%	99,77%	99,99%
167	2011-06-16T00:00:00	88,01%	92,57%	91,63%	88,26%	89,45%	91,44%	92,13%	99,76%	99,77%	99,99%
168	2011-06-17T00:00:00	87,93%	92,57%	91,88%	87,88%	89,34%	91,25%	92,13%	99,63%	99,65%	99,99%
169	2011-06-18T00:00:00	87,61%	92,35%	92,04%	87,32%	89,13%	91,06%	91,91%	99,63%	99,65%	99,99%
170	2011-06-19T00:00:00	87,37%	92,17%	91,63%	86,94%	88,61%	90,68%	91,71%	99,76%	99,77%	99,99%
171	2011-06-20T00:00:00	87,13%	91,89%	91,29%	86,56%	88,40%	90,50%	91,71%	99,88%	99,88%	99,99%
172	2011-06-21T00:00:00	86,89%	91,70%	90,79%	86,19%	88,08%	90,31%	91,31%	100,00%	100,00%	99,99%
173	2011-06-22T00:00:00	86,65%	91,55%	90,38%	85,44%	87,77%	89,93%	91,01%	100,00%	100,00%	99,99%
174	2011-06-23T00:00:00	86,25%	91,46%	90,13%	85,07%	87,25%	89,74%	90,82%	100,00%	100,00%	99,99%
175	2011-06-24T00:00:00	86,02%	91,30%	89,79%	84,88%	86,94%	89,37%	90,64%	100,00%	100,00%	99,99%
176	2011-06-25T00:00:00	85,70%	91,03%	89,46%	84,51%	86,42%	88,81%	90,45%	100,00%	100,00%	99,99%
177	2011-06-26T00:00:00	85,54%	90,82%	89,13%	83,95%	85,90%	88,62%	90,27%	100,00%	100,00%	99,99%
178	2011-06-27T00:00:00	85,22%	90,66%	89,21%	83,76%	85,28%	88,62%	89,99%	100,00%	100,00%	99,99%
179	2011-06-28T00:00:00	85,06%	90,55%	88,79%	83,20%	85,17%	88,81%	89,64%	100,00%	100,00%	99,99%
180	2011-06-29T00:00:00	84,91%	90,29%	88,46%	83,02%	84,56%	88,24%	89,40%	100,00%	100,00%	99,99%
181	2011-06-30T00:00:00	85,06%	90,13%	88,46%	82,46%	84,15%	87,30%	89,28%	100,00%	100,00%	99,99%
182	2011-01-07T00:00:00	85,06%	89,91%	87,71%	82,09%	83,74%	87,49%	89,16%	100,00%	100,00%	99,99%
183	2011-02-07T00:00:00	84,67%	89,81%	88,04%	82,09%	82,61%	87,87%	88,93%	100,00%	100,00%	99,99%
184	2011-03-07T00:00:00	84,35%	89,65%	87,79%	81,91%	82,41%	88,05%	88,81%	100,00%	100,00%	99,99%
185	2011-04-07T00:00:00	84,04%	89,43%	87,29%	81,54%	81,90%	87,68%	88,59%	100,00%	100,00%	99,99%
186	2011-05-07T00:00:00	83,72%	89,12%	87,38%	80,98%	81,70%	87,30%	88,25%	100,00%	100,00%	99,99%
187	2011-06-07T00:00:00	83,41%	88,80%	86,88%	80,80%	81,29%	86,93%	88,14%	100,00%	100,00%	99,99%
188	2011-07-07T00:00:00	83,10%	88,37%	86,31%	80,25%	80,99%	86,74%	87,70%	100,00%	100,00%	99,99%
189	2011-08-07T00:00:00	82,71%	88,05%	85,58%	79,70%	80,59%	86,17%	87,60%	100,00%	100,00%	99,99%
190	2011-09-07T00:00:00	82,39%	87,68%	85,51%	79,51%	80,29%	85,80%	87,49%	100,00%	100,00%	99,99%
191	2011-10-07T00:00:00	82,00%	87,36%	85,22%	79,15%	79,88%	85,61%	87,19%	100,00%	100,00%	99,99%
192	2011-11-07T00:00:00	81,69%	86,99%	85,07%	78,78%	79,48%	85,24%	86,98%	100,00%	100,00%	99,99%
193	2011-12-07T00:00:00	81,38%	86,61%	84,85%	78,05%	79,08%	85,05%	86,78%	100,00%	100,00%	99,99%
194	2011-07-13T00:00:00	81,07%	86,24%	84,27%	77,87%	78,68%	84,67%	86,67%	100,00%	100,00%	99,99%
195	2011-07-14T00:00:00	80,76%	85,82%	84,27%	77,51%	78,29%	84,48%	86,29%	100,00%	100,00%	99,99%
196	2011-07-15T00:00:00	80,38%	85,50%	83,76%	76,96%	77,99%	84,11%	86,20%	100,00%	100,00%	99,99%
197	2011-07-16T00:00:00	80,07%	85,23%	83,32%	76,60%	77,59%	83,92%	85,91%	100,00%	100,00%	99,99%
198	2011-07-17T00:00:00	79,76%	84,75%	83,03%	76,05%	77,19%	83,54%	85,72%	100,00%	100,00%	99,99%
199	2011-07-18T00:00:00	79,45%	84,38%	82,45%	75,33%	76,80%	83,36%	85,72%	100,00%	100,00%	99,99%
200	2011-07-19T00:00:00	79,14%	84,01%	82,45%	75,15%	76,11%	82,79%	85,38%	100,00%	100,00%	99,99%
201	2011-07-20T00:00:00	78,84%	83,63%	82,45%	74,61%	75,62%	82,61%	85,20%	100,00%	100,00%	99,99%
202	2011-07-21T00:00:00	78,45%	83,32%	82,01%	74,07%	75,42%	82,23%	84,94%	100,00%	100,00%	99,99%
203	2011-07-22T00:00:00	78,15%	82,84%	81,65%	73,71%	74,83%	82,04%	84,52%	100,00%	100,00%	99,99%
204	2011-07-23T00:00:00	77,84%	82,52%	81,21%	73,35%	74,44%	81,67%	84,40%	100,00%	100,00%	99,99%
205	2011-07-24T00:00:00	77,53%	82,15%	80,77%	72,64%	74,05%	81,48%	84,06%	100,00%	100,00%	99,99%
206	2011-07-25T00:00:00	77,23%	81,72%	80,26%	72,10%	73,57%	81,10%	83,84%	100,00%	100,00%	99,99%
207	2011-07-26T00:00:00	76,93%	81,45%	80,26%	71,74%	73,18%	80,73%	83,51%	100,00%	100,00%	99,99%
208	2011-07-27T00:00:00	76,62%	81,03%	79,75%	71,39%	72,79%	80,35%	83,20%	100,00%	100,00%	99,99%
209	2011-07-28T00:00:00	76,24%	80,60%	79,31%	70,86%	72,41%	80,16%	83,09%	100,00%	100,00%	99,99%
210	2011-07-29T00:00:00	75,94%	80,23%	79,24%	70,15%	71,83%	79,79%	82,88%	100,00%	100,00%	99,99%
211	2011-07-30T00:00:00	75,64%	79,91%	79,04%	69,79%	71,54%	79,41%	82,78%	100,00%	100,00%	99,99%
212	2011-07-31T00:00:00	75,33%	79,48%	78,79%	69,44%	71,16%	79,04%	82,38%	100,00%	100,00%	99,99%
213	2011-01-08T00:00:00	75,03%	79,06%	78,54%	68,91%	70,68%	78,66%	81,89%	100,00%	100,00%	99,99%
